station code,year,wqi,ph,do,bod,nitrate,locations,locations_full,water_quality
1699,2006,75.0,7.3,6.8,5.4,1.35,GHAGGAR AT U/S DHAKANSU NALLAH,"GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB",Average
1699,2007,115.0,7.7,6.5,9.8,2.6,GHAGGAR AT U/S DHAKANSU NALLAH,"GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB",Bad
1699,2008,140.0,7.2,5.1,13.5,2.55,U/S DHAKANSU NALLAH,"U/S DHAKANSU NALLAH, PUNJAB",Bad
1699,2009,117.0,7.4,5.3,10.0,3.1,NAN,NAN,Bad
1699,2010,148.0,6.8,5.4,15.4,5.1,U/S DHAKANSU NALLAH,"U/S DHAKANSU NALLAH, PUNJAB",Bad
1699,2011,161.0,7.4,3.5,20.0,13.2,GHAGGAR AT U/S DHAKANSU NALLAH,"GHAGGAR AT U/S DHAKANSU NALLAH, PUNJAB",Bad
1699,2012,155.0,7.4,4.9,17.5,4.77,GHAGGAR AT U/S DHAKANSU NALLAH,GHAGGAR AT U/S DHAKANSU NALLAH,Bad
1699,2013,157.0,7.5,4.9,16.5,5.0,U/S DHAKANSU NALLAH,"U/S DHAKANSU NALLAH, PUNJAB",Bad
1699,2014,158.0,7.6,5.0,16.3,6.1,U/S DHAKANSU NALLAH,"U/S DHAKANSU NALLAH, PUNJAB",Bad
17,2003,110.0,1579.0,6.4,1.7,0.513,PERIYAR AT ALWAYE,"PERIYAR AT ALWAYE, KERALA",Bad
17,2006,46.0,6.457,6.2,1.757,0.326,PERIYAR NEAR ALWAYENANELOOR,"PERIYAR NEAR ALWAYENANELOOR, KERALA",Good
17,2007,48.0,6.6,5.5,1.7,0.4,PERIYAR NEAR ALWAYENANELOOR,"PERIYAR NEAR ALWAYENANELOOR, KERALA",Good
17,2008,44.0,6.5,6.2,1.5,0.8,PERIYAR NEAR ALWAYENANELOOR,"PERIYAR NEAR ALWAYENANELOOR, KERALA",Good
17,2009,33.0,6.3,8.1,1.1,0.31,NAN,NAN,Good
17,2010,48.0,6.6,5.2,1.5,0.38,PERIYAR NEAR ALWAYENANELOOR,PERIYAR NEAR ALWAYENANELOOR,Good
17,2011,46.0,6.9,5.6,1.5,0.4,PERIYAR NEAR ALWAYENANELOOR,PERIYAR NEAR ALWAYENANELOOR,Good
17,2012,52.0,6.9,5.1,2.1,0.68,PERIYAR NEAR ALWAYENANELOOR,PERIYAR NEAR ALWAYENANELOOR,Good
17,2013,50.0,7.0,6.0,2.2,0.68,PERIYAR NEAR ALWAYENANELOOR,"PERIYAR NEAR ALWAYENANELOOR, KERALA",Good
17,2014,51.0,6.9,5.0,1.8,0.4,PERIYAR NEAR ALWAYENANELOOR,"PERIYAR NEAR ALWAYENANELOOR, KERALA",Good
1700,2006,155.0,7.367,4.2,14.667,1.7,GHAGGAR AT D/S DHAKANSU NALLAH,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",Bad
1700,2007,146.0,7.8,6.4,13.8,2.53,GHAGGAR AT D/S DHAKANSU NALLAH,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",Bad
1700,2008,154.0,7.2,4.5,23.8,3.45,D/S DHAKANSU NALLAH,"D/S DHAKANSU NALLAH, PUNJAB",Bad
1700,2009,156.0,7.4,4.8,19.0,4.6,NAN,NAN,Bad
1700,2010,158.0,7.6,5.1,26.5,6.6,D/S DHAKANSU NALLAH,"D/S DHAKANSU NALLAH, PUNJAB",Bad
1700,2011,166.0,7.6,3.2,27.3,19.2,GHAGGAR AT D/S DHAKANSU NALLAH,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",Bad
1700,2012,159.0,7.5,4.3,24.5,7.65,GHAGGAR AT D/S DHAKANSU NALLAH,GHAGGAR AT D/S DHAKANSU NALLAH,Bad
1700,2013,157.0,7.4,4.4,24.8,6.0,D/S DHAKANSU NALLAH,"D/S DHAKANSU NALLAH, PUNJAB",Bad
1700,2014,160.0,7.7,4.9,27.5,7.7,D/S DHAKANSU NALLAH,"D/S DHAKANSU NALLAH, PUNJAB",Bad
1701,2006,109.0,7.3,5.533,9.333,1.567,GHAGGAR AT D/S JHARMAL NADI,"GHAGGAR AT D/S JHARMAL NADI, PUNJAB",Bad
1701,2007,104.0,7.7,6.3,8.2,3.7,GHAGGAR AT D/S JHARMAL NADI,"GHAGGAR AT D/S JHARMAL NADI, PUNJAB",Average
1701,2008,154.0,7.2,4.4,18.1,3.75,D/S JHARMAL NADI,"D/S JHARMAL NADI, PUNJAB",Bad
1701,2009,147.0,7.3,2.9,13.0,3.9,NAN,NAN,Bad
1701,2010,161.0,7.6,4.2,31.8,7.6,D/S JHARMAL NADI,"D/S JHARMAL NADI, PUNJAB",Bad
1701,2011,156.0,7.3,4.7,32.8,16.4,GHAGGAR AT D/S JHARMAL NADI,GHAGGAR AT D/S JHARMAL NADI,Bad
1701,2012,156.0,7.4,4.8,26.0,8.6,GHAGGAR AT D/S JHARMAL NADI,GHAGGAR AT D/S JHARMAL NADI,Bad
1701,2013,153.0,7.2,4.8,20.3,4.0,D/S JHARMAL NADI,"D/S JHARMAL NADI, PUNJAB",Bad
1701,2014,154.0,7.3,5.0,19.3,6.2,D/S JHARMAL NADI,"D/S JHARMAL NADI, PUNJAB",Bad
1702,2006,88.0,7.3,5.2,6.267,1.4,GHAGGAR AT U/S JHARMAL NADI,"GHAGGAR AT U/S JHARMAL NADI, PUNJAB",Average
