,precision,recall,f1-score,support
Good,0.963302752293578,0.9545454545454546,0.958904109589041,220.0
Average,0.9099099099099099,0.926605504587156,0.9181818181818182,109.0
Bad,1.0,1.0,1.0,41.0
accuracy,0.9513513513513514,0.9513513513513514,0.9513513513513514,0.9513513513513514
macro avg,0.9577375540678293,0.9603836530442035,0.9590286425902864,370.0
weighted avg,0.9516399613101819,0.9513513513513514,0.9514614115983979,370.0
